trade_date,symbol,close,adj_close,source
2024-01-02,FALL,100.0000,100.0000,fixture
2024-01-03,FALL,99.7000,99.7000,fixture
2024-01-04,FALL,99.4009,99.4009,fixture
2024-01-05,FALL,99.1027,99.1027,fixture
2024-01-08,FALL,98.8054,98.8054,fixture
2024-01-09,FALL,98.5090,98.5090,fixture
2024-01-10,FALL,98.2134,98.2134,fixture
2024-01-11,FALL,97.9188,97.9188,fixture
2024-01-12,FALL,97.6250,97.6250,fixture
2024-01-15,FALL,97.3322,97.3322,fixture
2024-01-16,FALL,97.0402,97.0402,fixture
2024-01-17,FALL,96.7491,96.7491,fixture
2024-01-18,FALL,96.4588,96.4588,fixture
2024-01-19,FALL,96.1694,96.1694,fixture
2024-01-22,FALL,95.8809,95.8809,fixture
2024-01-23,FALL,95.5933,95.5933,fixture
2024-01-24,FALL,95.3065,95.3065,fixture
2024-01-25,FALL,95.0206,95.0206,fixture
2024-01-26,FALL,94.7355,94.7355,fixture
2024-01-29,FALL,94.4513,94.4513,fixture
2024-01-30,FALL,94.1680,94.1680,fixture
2024-01-31,FALL,93.8855,93.8855,fixture
2024-02-01,FALL,93.6038,93.6038,fixture
2024-02-02,FALL,93.3230,93.3230,fixture
2024-02-05,FALL,93.0430,93.0430,fixture
2024-02-06,FALL,92.7639,92.7639,fixture
2024-02-07,FALL,92.4856,92.4856,fixture
2024-02-08,FALL,92.2081,92.2081,fixture
2024-02-09,FALL,91.9315,91.9315,fixture
2024-02-12,FALL,91.6557,91.6557,fixture
2024-02-13,FALL,91.3808,91.3808,fixture
2024-02-14,FALL,91.1066,91.1066,fixture
2024-02-15,FALL,90.8333,90.8333,fixture
2024-02-16,FALL,90.5608,90.5608,fixture
2024-02-19,FALL,90.2891,90.2891,fixture
2024-02-20,FALL,90.0182,90.0182,fixture
2024-02-21,FALL,89.7482,89.7482,fixture
2024-02-22,FALL,89.4789,89.4789,fixture
2024-02-23,FALL,89.2105,89.2105,fixture
2024-02-26,FALL,88.9429,88.9429,fixture
2024-02-27,FALL,88.6760,88.6760,fixture
2024-02-28,FALL,88.4100,88.4100,fixture
2024-02-29,FALL,88.1448,88.1448,fixture
2024-03-01,FALL,87.8804,87.8804,fixture
2024-03-04,FALL,87.6167,87.6167,fixture
2024-03-05,FALL,87.3539,87.3539,fixture
2024-03-06,FALL,87.0918,87.0918,fixture
2024-03-07,FALL,86.8305,86.8305,fixture
2024-03-08,FALL,86.5700,86.5700,fixture
2024-03-11,FALL,86.3103,86.3103,fixture
2024-03-12,FALL,86.0514,86.0514,fixture
2024-03-13,FALL,85.7932,85.7932,fixture
2024-03-14,FALL,85.5359,85.5359,fixture
2024-03-15,FALL,85.2793,85.2793,fixture
2024-03-18,FALL,85.0234,85.0234,fixture
2024-03-19,FALL,84.7683,84.7683,fixture
2024-03-20,FALL,84.5140,84.5140,fixture
2024-03-21,FALL,84.2605,84.2605,fixture
2024-03-22,FALL,84.0077,84.0077,fixture
2024-03-25,FALL,83.7557,83.7557,fixture
2024-03-26,FALL,83.5044,83.5044,fixture
2024-03-27,FALL,83.2539,83.2539,fixture
2024-03-28,FALL,83.0042,83.0042,fixture
2024-03-29,FALL,82.7551,82.7551,fixture
2024-04-01,FALL,82.5069,82.5069,fixture
2024-04-02,FALL,82.2594,82.2594,fixture
2024-04-03,FALL,82.0126,82.0126,fixture
2024-04-04,FALL,81.7665,81.7665,fixture
2024-04-05,FALL,81.5212,81.5212,fixture
2024-04-08,FALL,81.2767,81.2767,fixture
2024-04-09,FALL,81.0328,81.0328,fixture
2024-04-10,FALL,80.7897,80.7897,fixture
2024-04-11,FALL,80.5474,80.5474,fixture
2024-04-12,FALL,80.3057,80.3057,fixture
2024-04-15,FALL,80.0648,80.0648,fixture
2024-04-16,FALL,79.8246,79.8246,fixture
2024-04-17,FALL,79.5851,79.5851,fixture
2024-04-18,FALL,79.3464,79.3464,fixture
2024-04-19,FALL,79.1084,79.1084,fixture
2024-04-22,FALL,78.8710,78.8710,fixture
2024-04-23,FALL,78.6344,78.6344,fixture
2024-04-24,FALL,78.3985,78.3985,fixture
2024-04-25,FALL,78.1633,78.1633,fixture
2024-04-26,FALL,77.9288,77.9288,fixture
2024-04-29,FALL,77.6950,77.6950,fixture
2024-04-30,FALL,77.4620,77.4620,fixture
2024-05-01,FALL,77.2296,77.2296,fixture
2024-05-02,FALL,76.9979,76.9979,fixture
2024-05-03,FALL,76.7669,76.7669,fixture
2024-05-06,FALL,76.5366,76.5366,fixture
2024-05-07,FALL,76.3070,76.3070,fixture
2024-05-08,FALL,76.0781,76.0781,fixture
2024-05-09,FALL,75.8498,75.8498,fixture
2024-05-10,FALL,75.6223,75.6223,fixture
2024-05-13,FALL,75.3954,75.3954,fixture
2024-05-14,FALL,75.1692,75.1692,fixture
2024-05-15,FALL,74.9437,74.9437,fixture
2024-05-16,FALL,74.7189,74.7189,fixture
2024-05-17,FALL,74.4947,74.4947,fixture
2024-05-20,FALL,74.2712,74.2712,fixture
2024-05-21,FALL,74.0484,74.0484,fixture
2024-05-22,FALL,73.8263,73.8263,fixture
2024-05-23,FALL,73.6048,73.6048,fixture
2024-05-24,FALL,73.3840,73.3840,fixture
2024-05-27,FALL,73.1638,73.1638,fixture
2024-05-28,FALL,72.9443,72.9443,fixture
2024-05-29,FALL,72.7255,72.7255,fixture
2024-05-30,FALL,72.5073,72.5073,fixture
2024-05-31,FALL,72.2898,72.2898,fixture
2024-06-03,FALL,72.0729,72.0729,fixture
2024-06-04,FALL,71.8567,71.8567,fixture
2024-06-05,FALL,71.6412,71.6412,fixture
2024-06-06,FALL,71.4262,71.4262,fixture
2024-06-07,FALL,71.2120,71.2120,fixture
2024-06-10,FALL,70.9983,70.9983,fixture
2024-06-11,FALL,70.7853,70.7853,fixture
2024-06-12,FALL,70.5730,70.5730,fixture
2024-06-13,FALL,70.3612,70.3612,fixture
2024-06-14,FALL,70.1502,70.1502,fixture
2024-06-17,FALL,69.9397,69.9397,fixture
2024-06-18,FALL,69.7299,69.7299,fixture
2024-06-19,FALL,69.5207,69.5207,fixture
2024-06-20,FALL,69.3121,69.3121,fixture
2024-06-21,FALL,69.1042,69.1042,fixture
2024-06-24,FALL,68.8969,68.8969,fixture
2024-06-25,FALL,68.6902,68.6902,fixture
2024-06-26,FALL,68.4841,68.4841,fixture
2024-06-27,FALL,68.2787,68.2787,fixture
2024-06-28,FALL,68.0738,68.0738,fixture
2024-07-01,FALL,67.8696,67.8696,fixture
2024-07-02,FALL,67.6660,67.6660,fixture
2024-07-03,FALL,67.4630,67.4630,fixture
2024-07-04,FALL,67.2606,67.2606,fixture
2024-07-05,FALL,67.0588,67.0588,fixture
2024-07-08,FALL,66.8577,66.8577,fixture
2024-07-09,FALL,66.6571,66.6571,fixture
2024-07-10,FALL,66.4571,66.4571,fixture
2024-07-11,FALL,66.2578,66.2578,fixture
2024-07-12,FALL,66.0590,66.0590,fixture
