trade_date,symbol,close,adj_close,source
2024-01-02,GAP,100.0000,100.0000,fixture
2024-01-03,GAP,100.2000,100.2000,fixture
2024-01-04,GAP,100.4004,100.4004,fixture
2024-01-05,GAP,100.6012,100.6012,fixture
2024-01-08,GAP,100.8024,100.8024,fixture
2024-01-09,GAP,101.0040,101.0040,fixture
2024-01-10,GAP,101.2060,101.2060,fixture
2024-01-11,GAP,101.4084,101.4084,fixture
2024-01-12,GAP,101.6112,101.6112,fixture
2024-01-15,GAP,101.8145,101.8145,fixture
2024-01-16,GAP,102.0181,102.0181,fixture
2024-01-17,GAP,102.2221,102.2221,fixture
2024-01-18,GAP,102.4266,102.4266,fixture
2024-01-19,GAP,102.6314,102.6314,fixture
2024-01-22,GAP,102.8367,102.8367,fixture
2024-01-23,GAP,103.0424,103.0424,fixture
2024-01-24,GAP,103.2485,103.2485,fixture
2024-01-25,GAP,103.4549,103.4549,fixture
2024-01-26,GAP,103.6619,103.6619,fixture
2024-01-29,GAP,103.8692,103.8692,fixture
2024-01-30,GAP,104.0769,104.0769,fixture
2024-01-31,GAP,104.2851,104.2851,fixture
2024-02-01,GAP,104.4936,104.4936,fixture
2024-02-02,GAP,104.7026,104.7026,fixture
2024-02-05,GAP,104.9120,104.9120,fixture
2024-02-06,GAP,105.1219,105.1219,fixture
2024-02-07,GAP,105.3321,105.3321,fixture
2024-02-08,GAP,105.5428,105.5428,fixture
2024-02-09,GAP,105.7539,105.7539,fixture
2024-02-12,GAP,105.9654,105.9654,fixture
2024-02-13,GAP,106.1773,106.1773,fixture
2024-02-14,GAP,106.3896,106.3896,fixture
2024-02-15,GAP,106.6024,106.6024,fixture
2024-02-16,GAP,106.8156,106.8156,fixture
2024-02-19,GAP,107.0293,107.0293,fixture
2024-02-20,GAP,107.2433,107.2433,fixture
2024-02-21,GAP,107.4578,107.4578,fixture
2024-02-22,GAP,107.6727,107.6727,fixture
2024-02-23,GAP,107.8881,107.8881,fixture
2024-02-26,GAP,108.1038,108.1038,fixture
2024-02-27,GAP,108.3201,108.3201,fixture
2024-02-28,GAP,108.5367,108.5367,fixture
2024-02-29,GAP,108.7538,108.7538,fixture
2024-03-01,GAP,108.9713,108.9713,fixture
2024-03-04,GAP,109.1892,109.1892,fixture
2024-03-05,GAP,109.4076,109.4076,fixture
2024-03-06,GAP,109.6264,109.6264,fixture
2024-03-07,GAP,109.8457,109.8457,fixture
2024-03-08,GAP,110.0654,110.0654,fixture
2024-03-11,GAP,110.2855,110.2855,fixture
2024-03-12,GAP,110.5061,110.5061,fixture
2024-03-13,GAP,110.7271,110.7271,fixture
2024-03-14,GAP,110.9485,110.9485,fixture
2024-03-15,GAP,111.1704,111.1704,fixture
2024-03-18,GAP,111.3928,111.3928,fixture
2024-03-19,GAP,111.6155,111.6155,fixture
2024-03-20,GAP,111.8388,111.8388,fixture
2024-03-21,GAP,112.0625,112.0625,fixture
2024-03-22,GAP,112.2866,112.2866,fixture
2024-03-25,GAP,112.5112,112.5112,fixture
2024-04-09,GAP,115.0113,115.0113,fixture
2024-04-10,GAP,115.2413,115.2413,fixture
2024-04-11,GAP,115.4718,115.4718,fixture
2024-04-12,GAP,115.7027,115.7027,fixture
2024-04-15,GAP,115.9342,115.9342,fixture
2024-04-16,GAP,116.1660,116.1660,fixture
2024-04-17,GAP,116.3984,116.3984,fixture
2024-04-18,GAP,116.6312,116.6312,fixture
2024-04-19,GAP,116.8644,116.8644,fixture
2024-04-22,GAP,117.0981,117.0981,fixture
2024-04-23,GAP,117.3323,117.3323,fixture
2024-04-24,GAP,117.5670,117.5670,fixture
2024-04-25,GAP,117.8021,117.8021,fixture
2024-04-26,GAP,118.0377,118.0377,fixture
2024-04-29,GAP,118.2738,118.2738,fixture
2024-04-30,GAP,118.5104,118.5104,fixture
2024-05-01,GAP,118.7474,118.7474,fixture
2024-05-02,GAP,118.9849,118.9849,fixture
2024-05-03,GAP,119.2228,119.2228,fixture
2024-05-06,GAP,119.4613,119.4613,fixture
2024-05-07,GAP,119.7002,119.7002,fixture
2024-05-08,GAP,119.9396,119.9396,fixture
2024-05-09,GAP,120.1795,120.1795,fixture
2024-05-10,GAP,120.4199,120.4199,fixture
2024-05-13,GAP,120.6607,120.6607,fixture
2024-05-14,GAP,120.9020,120.9020,fixture
2024-05-15,GAP,121.1438,121.1438,fixture
2024-05-16,GAP,121.3861,121.3861,fixture
2024-05-17,GAP,121.6289,121.6289,fixture
2024-05-20,GAP,121.8721,121.8721,fixture
2024-05-21,GAP,122.1159,122.1159,fixture
2024-05-22,GAP,122.3601,122.3601,fixture
2024-05-23,GAP,122.6048,122.6048,fixture
2024-05-24,GAP,122.8500,122.8500,fixture
2024-05-27,GAP,123.0957,123.0957,fixture
2024-05-28,GAP,123.3419,123.3419,fixture
2024-05-29,GAP,123.5886,123.5886,fixture
2024-05-30,GAP,123.8358,123.8358,fixture
2024-05-31,GAP,124.0835,124.0835,fixture
2024-06-03,GAP,124.3316,124.3316,fixture
2024-06-04,GAP,124.5803,124.5803,fixture
2024-06-05,GAP,124.8295,124.8295,fixture
2024-06-06,GAP,125.0791,125.0791,fixture
2024-06-07,GAP,125.3293,125.3293,fixture
2024-06-10,GAP,125.5799,125.5799,fixture
2024-06-11,GAP,125.8311,125.8311,fixture
2024-06-12,GAP,126.0828,126.0828,fixture
2024-06-13,GAP,126.3349,126.3349,fixture
2024-06-14,GAP,126.5876,126.5876,fixture
2024-06-17,GAP,126.8408,126.8408,fixture
2024-06-18,GAP,127.0944,127.0944,fixture
2024-06-19,GAP,127.3486,127.3486,fixture
2024-06-20,GAP,127.6033,127.6033,fixture
2024-06-21,GAP,127.8585,127.8585,fixture
2024-06-24,GAP,128.1143,128.1143,fixture
