trade_date,symbol,close,adj_close,source
2024-01-02,RISE,100.0000,100.0000,fixture
2024-01-03,RISE,100.4000,100.4000,fixture
2024-01-04,RISE,100.8016,100.8016,fixture
2024-01-05,RISE,101.2048,101.2048,fixture
2024-01-08,RISE,101.6096,101.6096,fixture
2024-01-09,RISE,102.0161,102.0161,fixture
2024-01-10,RISE,102.4241,102.4241,fixture
2024-01-11,RISE,102.8338,102.8338,fixture
2024-01-12,RISE,103.2452,103.2452,fixture
2024-01-15,RISE,103.6581,103.6581,fixture
2024-01-16,RISE,104.0728,104.0728,fixture
2024-01-17,RISE,104.4891,104.4891,fixture
2024-01-18,RISE,104.9070,104.9070,fixture
2024-01-19,RISE,105.3266,105.3266,fixture
2024-01-22,RISE,105.7480,105.7480,fixture
2024-01-23,RISE,106.1709,106.1709,fixture
2024-01-24,RISE,106.5956,106.5956,fixture
2024-01-25,RISE,107.0220,107.0220,fixture
2024-01-26,RISE,107.4501,107.4501,fixture
2024-01-29,RISE,107.8799,107.8799,fixture
2024-01-30,RISE,108.3114,108.3114,fixture
2024-01-31,RISE,108.7447,108.7447,fixture
2024-02-01,RISE,109.1796,109.1796,fixture
2024-02-02,RISE,109.6164,109.6164,fixture
2024-02-05,RISE,110.0548,110.0548,fixture
2024-02-06,RISE,110.4950,110.4950,fixture
2024-02-07,RISE,110.9370,110.9370,fixture
2024-02-08,RISE,111.3808,111.3808,fixture
2024-02-09,RISE,111.8263,111.8263,fixture
2024-02-12,RISE,112.2736,112.2736,fixture
2024-02-13,RISE,112.7227,112.7227,fixture
2024-02-14,RISE,113.1736,113.1736,fixture
2024-02-15,RISE,113.6263,113.6263,fixture
2024-02-16,RISE,114.0808,114.0808,fixture
2024-02-19,RISE,114.5371,114.5371,fixture
2024-02-20,RISE,114.9953,114.9953,fixture
2024-02-21,RISE,115.4552,115.4552,fixture
2024-02-22,RISE,115.9171,115.9171,fixture
2024-02-23,RISE,116.3807,116.3807,fixture
2024-02-26,RISE,116.8463,116.8463,fixture
2024-02-27,RISE,117.3136,117.3136,fixture
2024-02-28,RISE,117.7829,117.7829,fixture
2024-02-29,RISE,118.2540,118.2540,fixture
2024-03-01,RISE,118.7270,118.7270,fixture
2024-03-04,RISE,119.2020,119.2020,fixture
2024-03-05,RISE,119.6788,119.6788,fixture
2024-03-06,RISE,120.1575,120.1575,fixture
2024-03-07,RISE,120.6381,120.6381,fixture
2024-03-08,RISE,121.1207,121.1207,fixture
2024-03-11,RISE,121.6051,121.6051,fixture
2024-03-12,RISE,122.0916,122.0916,fixture
2024-03-13,RISE,122.5799,122.5799,fixture
2024-03-14,RISE,123.0702,123.0702,fixture
2024-03-15,RISE,123.5625,123.5625,fixture
2024-03-18,RISE,124.0568,124.0568,fixture
2024-03-19,RISE,124.5530,124.5530,fixture
2024-03-20,RISE,125.0512,125.0512,fixture
2024-03-21,RISE,125.5514,125.5514,fixture
2024-03-22,RISE,126.0536,126.0536,fixture
2024-03-25,RISE,126.5578,126.5578,fixture
2024-03-26,RISE,127.0641,127.0641,fixture
2024-03-27,RISE,127.5723,127.5723,fixture
2024-03-28,RISE,128.0826,128.0826,fixture
2024-03-29,RISE,128.5949,128.5949,fixture
2024-04-01,RISE,129.1093,129.1093,fixture
2024-04-02,RISE,129.6258,129.6258,fixture
2024-04-03,RISE,130.1443,130.1443,fixture
2024-04-04,RISE,130.6648,130.6648,fixture
2024-04-05,RISE,131.1875,131.1875,fixture
2024-04-08,RISE,131.7123,131.7123,fixture
2024-04-09,RISE,132.2391,132.2391,fixture
2024-04-10,RISE,132.7681,132.7681,fixture
2024-04-11,RISE,133.2991,133.2991,fixture
2024-04-12,RISE,133.8323,133.8323,fixture
2024-04-15,RISE,134.3677,134.3677,fixture
2024-04-16,RISE,134.9051,134.9051,fixture
2024-04-17,RISE,135.4447,135.4447,fixture
2024-04-18,RISE,135.9865,135.9865,fixture
2024-04-19,RISE,136.5305,136.5305,fixture
2024-04-22,RISE,137.0766,137.0766,fixture
2024-04-23,RISE,137.6249,137.6249,fixture
2024-04-24,RISE,138.1754,138.1754,fixture
2024-04-25,RISE,138.7281,138.7281,fixture
2024-04-26,RISE,139.2830,139.2830,fixture
2024-04-29,RISE,139.8401,139.8401,fixture
2024-04-30,RISE,140.3995,140.3995,fixture
