trade_date,symbol,close,adj_close,source
2024-01-02,SLOW,100.0000,100.0000,fixture
2024-01-03,SLOW,100.0800,100.0800,fixture
2024-01-04,SLOW,100.1601,100.1601,fixture
2024-01-05,SLOW,100.2402,100.2402,fixture
2024-01-08,SLOW,100.3204,100.3204,fixture
2024-01-09,SLOW,100.4006,100.4006,fixture
2024-01-10,SLOW,100.4810,100.4810,fixture
2024-01-11,SLOW,100.5613,100.5613,fixture
2024-01-12,SLOW,100.6418,100.6418,fixture
2024-01-15,SLOW,100.7223,100.7223,fixture
2024-01-16,SLOW,100.8029,100.8029,fixture
2024-01-17,SLOW,100.8835,100.8835,fixture
2024-01-18,SLOW,100.9642,100.9642,fixture
2024-01-19,SLOW,101.0450,101.0450,fixture
2024-01-22,SLOW,101.1258,101.1258,fixture
2024-01-23,SLOW,101.2067,101.2067,fixture
2024-01-24,SLOW,101.2877,101.2877,fixture
2024-01-25,SLOW,101.3687,101.3687,fixture
2024-01-26,SLOW,101.4498,101.4498,fixture
2024-01-29,SLOW,101.5310,101.5310,fixture
2024-01-30,SLOW,101.6122,101.6122,fixture
2024-01-31,SLOW,101.6935,101.6935,fixture
2024-02-01,SLOW,101.7749,101.7749,fixture
2024-02-02,SLOW,101.8563,101.8563,fixture
2024-02-05,SLOW,101.9378,101.9378,fixture
2024-02-06,SLOW,102.0193,102.0193,fixture
2024-02-07,SLOW,102.1009,102.1009,fixture
2024-02-08,SLOW,102.1826,102.1826,fixture
2024-02-09,SLOW,102.2644,102.2644,fixture
2024-02-12,SLOW,102.3462,102.3462,fixture
2024-02-13,SLOW,102.4280,102.4280,fixture
2024-02-14,SLOW,102.5100,102.5100,fixture
2024-02-15,SLOW,102.5920,102.5920,fixture
2024-02-16,SLOW,102.6741,102.6741,fixture
2024-02-19,SLOW,102.7562,102.7562,fixture
2024-02-20,SLOW,102.8384,102.8384,fixture
2024-02-21,SLOW,102.9207,102.9207,fixture
2024-02-22,SLOW,103.0030,103.0030,fixture
2024-02-23,SLOW,103.0854,103.0854,fixture
2024-02-26,SLOW,103.1679,103.1679,fixture
2024-02-27,SLOW,103.2504,103.2504,fixture
2024-02-28,SLOW,103.3330,103.3330,fixture
2024-02-29,SLOW,103.4157,103.4157,fixture
2024-03-01,SLOW,103.4984,103.4984,fixture
2024-03-04,SLOW,103.5812,103.5812,fixture
2024-03-05,SLOW,103.6641,103.6641,fixture
2024-03-06,SLOW,103.7470,103.7470,fixture
2024-03-07,SLOW,103.8300,103.8300,fixture
2024-03-08,SLOW,103.9131,103.9131,fixture
2024-03-11,SLOW,103.9962,103.9962,fixture
2024-03-12,SLOW,104.0794,104.0794,fixture
2024-03-13,SLOW,104.1627,104.1627,fixture
2024-03-14,SLOW,104.2460,104.2460,fixture
2024-03-15,SLOW,104.3294,104.3294,fixture
2024-03-18,SLOW,104.4129,104.4129,fixture
2024-03-19,SLOW,104.4964,104.4964,fixture
2024-03-20,SLOW,104.5800,104.5800,fixture
2024-03-21,SLOW,104.6637,104.6637,fixture
2024-03-22,SLOW,104.7474,104.7474,fixture
2024-03-25,SLOW,104.8312,104.8312,fixture
2024-03-26,SLOW,104.9151,104.9151,fixture
2024-03-27,SLOW,104.9990,104.9990,fixture
2024-03-28,SLOW,105.0830,105.0830,fixture
2024-03-29,SLOW,105.1670,105.1670,fixture
2024-04-01,SLOW,105.2512,105.2512,fixture
2024-04-02,SLOW,105.3354,105.3354,fixture
2024-04-03,SLOW,105.4197,105.4197,fixture
2024-04-04,SLOW,105.5040,105.5040,fixture
2024-04-05,SLOW,105.5884,105.5884,fixture
2024-04-08,SLOW,105.6729,105.6729,fixture
2024-04-09,SLOW,105.7574,105.7574,fixture
2024-04-10,SLOW,105.8420,105.8420,fixture
2024-04-11,SLOW,105.9267,105.9267,fixture
2024-04-12,SLOW,106.0114,106.0114,fixture
2024-04-15,SLOW,106.0962,106.0962,fixture
2024-04-16,SLOW,106.1811,106.1811,fixture
2024-04-17,SLOW,106.2661,106.2661,fixture
2024-04-18,SLOW,106.3511,106.3511,fixture
2024-04-19,SLOW,106.4361,106.4361,fixture
2024-04-22,SLOW,106.5213,106.5213,fixture
2024-04-23,SLOW,106.6065,106.6065,fixture
2024-04-24,SLOW,106.6918,106.6918,fixture
2024-04-25,SLOW,106.7772,106.7772,fixture
2024-04-26,SLOW,106.8626,106.8626,fixture
2024-04-29,SLOW,106.9481,106.9481,fixture
2024-04-30,SLOW,107.0336,107.0336,fixture
2024-05-01,SLOW,107.1192,107.1192,fixture
2024-05-02,SLOW,107.2049,107.2049,fixture
2024-05-03,SLOW,107.2907,107.2907,fixture
2024-05-06,SLOW,107.3765,107.3765,fixture
2024-05-07,SLOW,107.4624,107.4624,fixture
2024-05-08,SLOW,107.5484,107.5484,fixture
2024-05-09,SLOW,107.6344,107.6344,fixture
2024-05-10,SLOW,107.7206,107.7206,fixture
2024-05-13,SLOW,107.8067,107.8067,fixture
2024-05-14,SLOW,107.8930,107.8930,fixture
2024-05-15,SLOW,107.9793,107.9793,fixture
2024-05-16,SLOW,108.0657,108.0657,fixture
2024-05-17,SLOW,108.1521,108.1521,fixture
2024-05-20,SLOW,108.2387,108.2387,fixture
2024-05-21,SLOW,108.3252,108.3252,fixture
2024-05-22,SLOW,108.4119,108.4119,fixture
2024-05-23,SLOW,108.4986,108.4986,fixture
2024-05-24,SLOW,108.5854,108.5854,fixture
2024-05-27,SLOW,108.6723,108.6723,fixture
2024-05-28,SLOW,108.7592,108.7592,fixture
2024-05-29,SLOW,108.8462,108.8462,fixture
2024-05-30,SLOW,108.9333,108.9333,fixture
2024-05-31,SLOW,109.0205,109.0205,fixture
2024-06-03,SLOW,109.1077,109.1077,fixture
2024-06-04,SLOW,109.1950,109.1950,fixture
2024-06-05,SLOW,109.2823,109.2823,fixture
2024-06-06,SLOW,109.3698,109.3698,fixture
2024-06-07,SLOW,109.4572,109.4572,fixture
2024-06-10,SLOW,109.5448,109.5448,fixture
2024-06-11,SLOW,109.6324,109.6324,fixture
2024-06-12,SLOW,109.7202,109.7202,fixture
2024-06-13,SLOW,109.8079,109.8079,fixture
2024-06-14,SLOW,109.8958,109.8958,fixture
2024-06-17,SLOW,109.9837,109.9837,fixture
2024-06-18,SLOW,110.0717,110.0717,fixture
2024-06-19,SLOW,110.1597,110.1597,fixture
2024-06-20,SLOW,110.2479,110.2479,fixture
2024-06-21,SLOW,110.3361,110.3361,fixture
2024-06-24,SLOW,110.4243,110.4243,fixture
2024-06-25,SLOW,110.5127,110.5127,fixture
2024-06-26,SLOW,110.6011,110.6011,fixture
2024-06-27,SLOW,110.6896,110.6896,fixture
2024-06-28,SLOW,110.7781,110.7781,fixture
2024-07-01,SLOW,110.8667,110.8667,fixture
2024-07-02,SLOW,110.9554,110.9554,fixture
2024-07-03,SLOW,111.0442,111.0442,fixture
2024-07-04,SLOW,111.1330,111.1330,fixture
2024-07-05,SLOW,111.2219,111.2219,fixture
2024-07-08,SLOW,111.3109,111.3109,fixture
2024-07-09,SLOW,111.4000,111.4000,fixture
2024-07-10,SLOW,111.4891,111.4891,fixture
2024-07-11,SLOW,111.5783,111.5783,fixture
2024-07-12,SLOW,111.6675,111.6675,fixture
2024-07-15,SLOW,111.7569,111.7569,fixture
2024-07-16,SLOW,111.8463,111.8463,fixture
2024-07-17,SLOW,111.9358,111.9358,fixture
2024-07-18,SLOW,112.0253,112.0253,fixture
2024-07-19,SLOW,112.1149,112.1149,fixture
2024-07-22,SLOW,112.2046,112.2046,fixture
2024-07-23,SLOW,112.2944,112.2944,fixture
2024-07-24,SLOW,112.3842,112.3842,fixture
2024-07-25,SLOW,112.4741,112.4741,fixture
2024-07-26,SLOW,112.5641,112.5641,fixture
2024-07-29,SLOW,112.6542,112.6542,fixture
2024-07-30,SLOW,112.7443,112.7443,fixture
2024-07-31,SLOW,112.8345,112.8345,fixture
2024-08-01,SLOW,112.9247,112.9247,fixture
2024-08-02,SLOW,113.0151,113.0151,fixture
2024-08-05,SLOW,113.1055,113.1055,fixture
2024-08-06,SLOW,113.1960,113.1960,fixture
2024-08-07,SLOW,113.2865,113.2865,fixture
2024-08-08,SLOW,113.3772,113.3772,fixture
2024-08-09,SLOW,113.4679,113.4679,fixture
2024-08-12,SLOW,113.5586,113.5586,fixture
2024-08-13,SLOW,113.6495,113.6495,fixture
2024-08-14,SLOW,113.7404,113.7404,fixture
2024-08-15,SLOW,113.8314,113.8314,fixture
2024-08-16,SLOW,113.9225,113.9225,fixture
2024-08-19,SLOW,114.0136,114.0136,fixture
2024-08-20,SLOW,114.1048,114.1048,fixture
2024-08-21,SLOW,114.1961,114.1961,fixture
2024-08-22,SLOW,114.2875,114.2875,fixture
2024-08-23,SLOW,114.3789,114.3789,fixture
2024-08-26,SLOW,114.4704,114.4704,fixture
2024-08-27,SLOW,114.5620,114.5620,fixture
2024-08-28,SLOW,114.6536,114.6536,fixture
2024-08-29,SLOW,114.7453,114.7453,fixture
2024-08-30,SLOW,114.8371,114.8371,fixture
2024-09-02,SLOW,114.9290,114.9290,fixture
2024-09-03,SLOW,115.0209,115.0209,fixture
2024-09-04,SLOW,115.1130,115.1130,fixture
2024-09-05,SLOW,115.2050,115.2050,fixture
2024-09-06,SLOW,115.2972,115.2972,fixture
2024-09-09,SLOW,115.3895,115.3895,fixture
