trade_date,symbol,close,adj_close,source
2024-01-02,WAVE,100.0000,100.0000,fixture
2024-01-03,WAVE,101.7842,101.7842,fixture
2024-01-04,WAVE,103.5593,103.5593,fixture
2024-01-05,WAVE,105.3162,105.3162,fixture
2024-01-08,WAVE,107.0461,107.0461,fixture
2024-01-09,WAVE,108.7400,108.7400,fixture
2024-01-10,WAVE,110.3893,110.3893,fixture
2024-01-11,WAVE,111.9856,111.9856,fixture
2024-01-12,WAVE,113.5209,113.5209,fixture
2024-01-15,WAVE,114.9871,114.9871,fixture
2024-01-16,WAVE,116.3769,116.3769,fixture
2024-01-17,WAVE,117.6833,117.6833,fixture
2024-01-18,WAVE,118.8994,118.8994,fixture
2024-01-19,WAVE,120.0191,120.0191,fixture
2024-01-22,WAVE,121.0368,121.0368,fixture
2024-01-23,WAVE,121.9471,121.9471,fixture
2024-01-24,WAVE,122.7456,122.7456,fixture
2024-01-25,WAVE,123.4280,123.4280,fixture
2024-01-26,WAVE,123.9910,123.9910,fixture
2024-01-29,WAVE,124.4316,124.4316,fixture
2024-01-30,WAVE,124.7476,124.7476,fixture
2024-01-31,WAVE,124.9374,124.9374,fixture
2024-02-01,WAVE,125.0000,125.0000,fixture
2024-02-02,WAVE,124.9351,124.9351,fixture
2024-02-05,WAVE,124.7431,124.7431,fixture
2024-02-06,WAVE,124.4248,124.4248,fixture
2024-02-07,WAVE,123.9821,123.9821,fixture
2024-02-08,WAVE,123.4170,123.4170,fixture
2024-02-09,WAVE,122.7324,122.7324,fixture
2024-02-12,WAVE,121.9320,121.9320,fixture
2024-02-13,WAVE,121.0197,121.0197,fixture
2024-02-14,WAVE,120.0002,120.0002,fixture
2024-02-15,WAVE,118.8787,118.8787,fixture
2024-02-16,WAVE,117.6609,117.6609,fixture
2024-02-19,WAVE,116.3530,116.3530,fixture
2024-02-20,WAVE,114.9618,114.9618,fixture
2024-02-21,WAVE,113.4943,113.4943,fixture
2024-02-22,WAVE,111.9579,111.9579,fixture
2024-02-23,WAVE,110.3605,110.3605,fixture
2024-02-26,WAVE,108.7103,108.7103,fixture
2024-02-27,WAVE,107.0157,107.0157,fixture
2024-02-28,WAVE,105.2853,105.2853,fixture
2024-02-29,WAVE,103.5280,103.5280,fixture
2024-03-01,WAVE,101.7527,101.7527,fixture
2024-03-04,WAVE,99.9684,99.9684,fixture
2024-03-05,WAVE,98.1843,98.1843,fixture
2024-03-06,WAVE,96.4094,96.4094,fixture
2024-03-07,WAVE,94.6529,94.6529,fixture
2024-03-08,WAVE,92.9236,92.9236,fixture
2024-03-11,WAVE,91.2304,91.2304,fixture
2024-03-12,WAVE,89.5820,89.5820,fixture
2024-03-13,WAVE,87.9866,87.9866,fixture
2024-03-14,WAVE,86.4526,86.4526,fixture
2024-03-15,WAVE,84.9876,84.9876,fixture
2024-03-18,WAVE,83.5992,83.5992,fixture
2024-03-19,WAVE,82.2944,82.2944,fixture
2024-03-20,WAVE,81.0799,81.0799,fixture
2024-03-21,WAVE,79.9620,79.9620,fixture
2024-03-22,WAVE,78.9462,78.9462,fixture
2024-03-25,WAVE,78.0377,78.0377,fixture
2024-03-26,WAVE,77.2413,77.2413,fixture
2024-03-27,WAVE,76.5610,76.5610,fixture
2024-03-28,WAVE,76.0002,76.0002,fixture
2024-03-29,WAVE,75.5617,75.5617,fixture
2024-04-01,WAVE,75.2480,75.2480,fixture
2024-04-02,WAVE,75.0604,75.0604,fixture
2024-04-03,WAVE,75.0000,75.0000,fixture
2024-04-04,WAVE,75.0672,75.0672,fixture
2024-04-05,WAVE,75.2615,75.2615,fixture
2024-04-08,WAVE,75.5819,75.5819,fixture
